,associated,name,code,level,desc,imgs,page,includes,img_1,img_2
164,Associated Masterformat Sections: 01 83 16 ,Exterior Wall Construction (Wood),B2010.20.10 / 21-02 20 10 20 10 / Ss 25 11 90,200,See B2010.20,777,57,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/777.png,
165,Associated Masterformat Sections: 01 83 16 ,Exterior Wall Construction (Wood),B2010.20.10 / 21-02 20 10 20 10 / Ss 25 11 90,300,See B2010.20,778,57,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/778.png,
166,Associated Masterformat Sections: 01 83 16 ,Exterior Wall Construction (Wood),B2010.20.10 / 21-02 20 10 20 10 / Ss 25 11 90,350,"Inclusions:
• King studs and headers
• Backing and blocking
• Shear panels
• All penetrations modeled at rough-opening
dimensions.
• Cladding and sheathing",783,58,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/783.png,
167,Associated Masterformat Sections: 01 83 16 ,Exterior Wall Construction (Wood),B2010.20.10 / 21-02 20 10 20 10 / Ss 25 11 90,400,"Inclusions:
• Individual studs",784,58,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/784.png,
168,,Exterior Wall Construction (Cold-Form Metal Framing),B2010.20.20 / 21-02 20 10 20 20 / Ss 25 10 32 45,100,N/A,,58,,,
169,,Exterior Wall Construction (Cold-Form Metal Framing),B2010.20.20 / 21-02 20 10 20 20 / Ss 25 10 32 45,200,See B2010.20,785,58,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/785.png,
170,,Exterior Wall Construction (Cold-Form Metal Framing),B2010.20.20 / 21-02 20 10 20 20 / Ss 25 10 32 45,300,See B2010.20,790,59,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/790.png,
171,,Exterior Wall Construction (Cold-Form Metal Framing),B2010.20.20 / 21-02 20 10 20 20 / Ss 25 10 32 45,350,"Inclusions:
• King studs and headers
• Backing and blocking
• Shear panels
• All penetrations modeled at rough-opening
dimensions.
• Cladding and sheathing",791,59,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/791.png,
172,,Exterior Wall Construction (Cold-Form Metal Framing),B2010.20.20 / 21-02 20 10 20 20 / Ss 25 10 32 45,400,"Inclusions:
• Individual studs",792,59,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/792.png,
173,Associated Masterformat Sections: 01 83 16 ,Exterior Wall Construction (Masonry),B2010.20.30 / 21-02 20 10 20 30 / Ss 25 13 50,100,N/A,,60,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",,
174,Associated Masterformat Sections: 01 83 16 ,Exterior Wall Construction (Masonry),B2010.20.30 / 21-02 20 10 20 30 / Ss 25 13 50,200,See B2010.20,797,60,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/797.png,
175,Associated Masterformat Sections: 01 83 16 ,Exterior Wall Construction (Masonry),B2010.20.30 / 21-02 20 10 20 30 / Ss 25 13 50,300,See B2010.20,797,60,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/797.png,
176,Associated Masterformat Sections: 01 83 16 ,Exterior Wall Construction (Masonry),B2010.20.30 / 21-02 20 10 20 30 / Ss 25 13 50,350,"Inclusions
• All penetrations, modeled to rough opening dimensions.
• Anchor elements
• Exposed embeds
• Lintels
• Dowels
• Post-tension anchor points.
• Critical structural zones such as zones that cannot be
penetrated or cut
• Expansion joints
• Lifting points
• Bond beams",798,60,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/798.png,
177,Associated Masterformat Sections: 01 83 16 ,Exterior Wall Construction (Masonry),B2010.20.30 / 21-02 20 10 20 30 / Ss 25 13 50,400,"Inclusions:
• Waterproofing
• Coursing
• Reinforcements","803, 804",61,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/803.png,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/804.png
178,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 41 00 / 06 11 00 06 12 00 / 06 16 00 ,Precast Wall Construction (Concrete),B2010.20.40 / 21-02 20 10 20 40 / Ss 25 16 65,100,N/A,,61,"Includes: Exterior wall construction including backup systems for wall veneer. May be vertical load bearing. Includes cast-in-place concrete walls, precast concrete walls, unit masonry walls, metal framed wall systems, and wood framed wall systems. ",,
179,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 41 00 / 06 11 00 06 12 00 / 06 16 00 ,Precast Wall Construction (Concrete),B2010.20.40 / 21-02 20 10 20 40 / Ss 25 16 65,200,See B2010.20,,61,"Includes: Exterior wall construction including backup systems for wall veneer. May be vertical load bearing. Includes cast-in-place concrete walls, precast concrete walls, unit masonry walls, metal framed wall systems, and wood framed wall systems. ",,
180,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 41 00 / 06 11 00 06 12 00 / 06 16 00 ,Precast Wall Construction (Concrete),B2010.20.40 / 21-02 20 10 20 40 / Ss 25 16 65,300,See B2010.20,,61,"Includes: Exterior wall construction including backup systems for wall veneer. May be vertical load bearing. Includes cast-in-place concrete walls, precast concrete walls, unit masonry walls, metal framed wall systems, and wood framed wall systems. ",,
181,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 41 00 / 06 11 00 06 12 00 / 06 16 00 ,Precast Wall Construction (Concrete),B2010.20.40 / 21-02 20 10 20 40 / Ss 25 16 65,350,"Inclusions:
• Reinforcing Post-tension profiles and strand locations
• Pour joints
• Expansion Joints
• Control joints
• Lifting devices
• Embeds
• All penetrations are modeled at actual rough-opening
dimensions.
• Any permanent forming or shoring components
• Dowels",809,62,"Includes: Exterior wall construction including backup systems for wall veneer. May be vertical load bearing. Includes cast-in-place concrete walls, precast concrete walls, unit masonry walls, metal framed wall systems, and wood framed wall systems. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/809.png,
182,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 41 00 / 06 11 00 06 12 00 / 06 16 00 ,Precast Wall Construction (Concrete),B2010.20.40 / 21-02 20 10 20 40 / Ss 25 16 65,400,"Inclusions:
• Rebar including hooks and lap splices
• Post-tensioning tendons
• Pour Joints",810,62,"Includes: Exterior wall construction including backup systems for wall veneer. May be vertical load bearing. Includes cast-in-place concrete walls, precast concrete walls, unit masonry walls, metal framed wall systems, and wood framed wall systems. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/810.png,
183,Associated Masterformat Sections: ,Exterior Wall Construction (Cast-in Place Concrete),B2010.20.50 / 21-02 20 10 20 50 /,100,N/A,,62,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",,
184,Associated Masterformat Sections: ,Exterior Wall Construction (Cast-in Place Concrete),B2010.20.50 / 21-02 20 10 20 50 /,200,See B2010.20,,62,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",,
185,Associated Masterformat Sections: ,Exterior Wall Construction (Cast-in Place Concrete),B2010.20.50 / 21-02 20 10 20 50 /,300,See B2010.20,,62,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",,
186,Associated Masterformat Sections: ,Exterior Wall Construction (Cast-in Place Concrete),B2010.20.50 / 21-02 20 10 20 50 /,350,"Inclusions:
• Penetrations at rough opening dimensions.
• Pour joints
• Control joints
• Expansion joints
• Anchor elements
• Embeds
• Embeds
• Dowels
• Post tension anchor points",809,62,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/809.png,
187,Associated Masterformat Sections: ,Exterior Wall Construction (Cast-in Place Concrete),B2010.20.50 / 21-02 20 10 20 50 /,400,"Inclusions:
• Rebar including hooks and lap splices
• Post-tensioning tendons
• Pour Joints",810,63,"Includes: Exterior Wall Supplementary Components as appropriate. Includes Exterior Wall Opening Supplementary Components as appropriate. Includes: Solid wall construction that is composite in nature; in other words, multiple layers of materials to form an overall assembly. ",https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/810.png,
188,Associated Masterformat Sections: 09 20 00 ,Exterior Wall Interior Skin,B2010.30 / 21-02 20 10 30 / Ss 25 45,100,N/A,,63,Includes: Materials to provide finish or protective covering on inside of face of exterior walls. May include insulation and vapor retarder. ,,
189,Associated Masterformat Sections: 09 20 00 ,Exterior Wall Interior Skin,B2010.30 / 21-02 20 10 30 / Ss 25 45,200,"Inclusions:
• approximate thickness of layer",,63,Includes: Materials to provide finish or protective covering on inside of face of exterior walls. May include insulation and vapor retarder. ,,
190,Associated Masterformat Sections: 09 20 00 ,Exterior Wall Interior Skin,B2010.30 / 21-02 20 10 30 / Ss 25 45,300,"Inclusions:
• Single model element separated by type of material
with accurate overall thickness and shape
• Openings with any dimension greater than 6” (15 cm) or
as noted
• Window and door openings at nominal dimensions",,63,Includes: Materials to provide finish or protective covering on inside of face of exterior walls. May include insulation and vapor retarder. ,,
191,Associated Masterformat Sections: 09 20 00 ,Exterior Wall Interior Skin,B2010.30 / 21-02 20 10 30 / Ss 25 45,350,"Inclusions:
• Single element showing all layers such that they can be
measured
• All penetrations modeled to rough opening dimensions.
• Connection to interfacing systems",,63,Includes: Materials to provide finish or protective covering on inside of face of exterior walls. May include insulation and vapor retarder. ,,
192,Associated Masterformat Sections: 09 20 00 ,Exterior Wall Interior Skin,B2010.30 / 21-02 20 10 30 / Ss 25 45,400,"Inclusions:
• Studs and tracks
• Individual masonry units
• Reinforcing
• Wall board
• Insulation",,63,Includes: Materials to provide finish or protective covering on inside of face of exterior walls. May include insulation and vapor retarder. ,,
193,Associated Masterformat Sections: 03 40 00 / 04 20 00 / 08 92 00 ,Equipment Screens,B2010.60 / 21-02 20 10 60 / EF 25 10,100,N/A,,64,Includes: Exterior wall construction to screen equipment from public view. ,,
194,Associated Masterformat Sections: 03 40 00 / 04 20 00 / 08 92 00 ,Equipment Screens,B2010.60 / 21-02 20 10 60 / EF 25 10,200,"Inclusions
• Location of face",,64,Includes: Exterior wall construction to screen equipment from public view. ,,
195,Associated Masterformat Sections: 03 40 00 / 04 20 00 / 08 92 00 ,Equipment Screens,B2010.60 / 21-02 20 10 60 / EF 25 10,300,"Inclusions
• Support structure elements
• Doors
• ladders",,64,Includes: Exterior wall construction to screen equipment from public view. ,,
196,Associated Masterformat Sections: 03 40 00 / 04 20 00 / 08 92 00 ,Equipment Screens,B2010.60 / 21-02 20 10 60 / EF 25 10,350,"Inclusions
• connections",,64,Includes: Exterior wall construction to screen equipment from public view. ,,
197,Associated Masterformat Sections: 01 83 16 / 08 50 00 ,Exterior Windows,B2020 / 21-02 20 20 / Ss 25 30 95 26,100,N/A,,65,"Includes: Fixed or operable windows used singly and in multiples located in the exterior vertical enclosure. Includes Exterior Window Supplementary Components as appropriate. Includes windows units with louver blinds integrally set between glass panels. Includes metal, wood, plastic, and composite window units. May Include: Wall Opening Supplementary Components as appropriate. ",,
198,Associated Masterformat Sections: 01 83 16 / 08 50 00 ,Exterior Windows,B2020 / 21-02 20 20 / Ss 25 30 95 26,200,"Inclusions:
• Generic window object",,65,"Includes: Fixed or operable windows used singly and in multiples located in the exterior vertical enclosure. Includes Exterior Window Supplementary Components as appropriate. Includes windows units with louver blinds integrally set between glass panels. Includes metal, wood, plastic, and composite window units. May Include: Wall Opening Supplementary Components as appropriate. ",,
199,Associated Masterformat Sections: 08 50 00 / 08 51 66 / 08 52 66 / 08 53 66 / 08 54 66 08 51 69 / 08 52 69 / 08 53 69 / 08 54 69 ,Exterior Operating Windows,B2020.10 / 21-02 20 20 10 / Ss 25 30 95 26,100,N/A,,65,Includes: Window screens and storm windows. ,,
200,Associated Masterformat Sections: 08 50 00 / 08 51 66 / 08 52 66 / 08 53 66 / 08 54 66 08 51 69 / 08 52 69 / 08 53 69 / 08 54 69 ,Exterior Operating Windows,B2020.10 / 21-02 20 20 10 / Ss 25 30 95 26,200,See B2020,,65,Includes: Window screens and storm windows. ,,
201,Associated Masterformat Sections: 08 50 00 / 08 51 66 / 08 52 66 / 08 53 66 / 08 54 66 08 51 69 / 08 52 69 / 08 53 69 / 08 54 69 ,Exterior Operating Windows,B2020.10 / 21-02 20 20 10 / Ss 25 30 95 26,300,"Inclusions:
• specific type and size
• Direction of opening",,65,Includes: Window screens and storm windows. ,,
202,Associated Masterformat Sections: 08 50 00 / 08 51 66 / 08 52 66 / 08 53 66 / 08 54 66 08 51 69 / 08 52 69 / 08 53 69 / 08 54 69 ,Exterior Operating Windows,B2020.10 / 21-02 20 20 10 / Ss 25 30 95 26,350,"Inclusions:
• Attachment elements of window to structure",,65,Includes: Window screens and storm windows. ,,
203,Associated Masterformat Sections: 08 50 00 / 08 51 66 / 08 52 66 / 08 53 66 / 08 54 66 08 51 69 / 08 52 69 / 08 53 69 / 08 54 69 ,Exterior Operating Windows,B2020.10 / 21-02 20 20 10 / Ss 25 30 95 26,400,"Inclusions:
• Detailed frame extrusion profiles
• Fasteners",,65,Includes: Window screens and storm windows. ,,
204,Associated Masterformat Sections: 08 43 00 ,Exterior Window Wall,B2020.30 / 21-02 20 20 30 / Ss 25 30 95 96,100,See B20,,66,,,
205,Associated Masterformat Sections: 08 43 00 ,Exterior Window Wall,B2020.30 / 21-02 20 20 30 / Ss 25 30 95 96,200,"Inclusions
• Area of wall
• Thickness of wall",829,66,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/829.png,
206,Associated Masterformat Sections: 08 43 00 ,Exterior Window Wall,B2020.30 / 21-02 20 20 30 / Ss 25 30 95 96,300,"Inclusions
• Mullions
• Glazing elements
• Operable components",830,66,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/830.png,
207,Associated Masterformat Sections: 08 43 00 ,Exterior Window Wall,B2020.30 / 21-02 20 20 30 / Ss 25 30 95 96,350,"Inclusions
• Anchorage points",831,66,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/831.png,
208,Associated Masterformat Sections: 08 43 00 ,Exterior Window Wall,B2020.30 / 21-02 20 20 30 / Ss 25 30 95 96,400,"Inclusions
• mullion extrusion profiles.
• sealants,
• end dams,
• flashings
• membranes.",836,67,,https://jet-w.github.io/data/unisa/CapstoneProfessionalProject/bim_spec/836.png,
209,Associated Masterformat Sections: 01 83 16 ,Exterior Doors and Grilles,B2050 / 21-02 20 50 / Ss 25 30 20,100,N/A,,67,"Includes: Doors, grilles, and gates located in the exterior vertical enclosure. Includes screen and storm door assemblies. Includes Exterior Door Supplementary Components as appropriate. May Include: Wall Opening Supplementary Components as appropriate. ",,
210,Associated Masterformat Sections: 01 83 16 ,Exterior Doors and Grilles,B2050 / 21-02 20 50 / Ss 25 30 20,200,"Inclusions
• Generic object",,67,"Includes: Doors, grilles, and gates located in the exterior vertical enclosure. Includes screen and storm door assemblies. Includes Exterior Door Supplementary Components as appropriate. May Include: Wall Opening Supplementary Components as appropriate. ",,
211,Associated Masterformat Sections: 08 32 00 / 08 42 00 / 08 42 26 / 08 42 29 / 08 42 33 08 42 36 / 08 43 29 ,Exterior Entrance Doors,B2050.10 / 21-02 20 50 10 / Ss 25 30 20 25,100,N/A,,67,"Includes: Exterior personnel door assemblies at main entrances. Includes automatic, revolving, balanced, and other special operating entrance doors, and sliding storefront wall systems. ",,
212,Associated Masterformat Sections: 08 32 00 / 08 42 00 / 08 42 26 / 08 42 29 / 08 42 33 08 42 36 / 08 43 29 ,Exterior Entrance Doors,B2050.10 / 21-02 20 50 10 / Ss 25 30 20 25,200,See B2050,,67,"Includes: Exterior personnel door assemblies at main entrances. Includes automatic, revolving, balanced, and other special operating entrance doors, and sliding storefront wall systems. ",,
213,Associated Masterformat Sections: 08 32 00 / 08 42 00 / 08 42 26 / 08 42 29 / 08 42 33 08 42 36 / 08 43 29 ,Exterior Entrance Doors,B2050.10 / 21-02 20 50 10 / Ss 25 30 20 25,300,"Inclusions
• Specific door panels and frames (if applicable).
• Operation
• If clearances are to be modeled indicate in a note
• Panic bars if applicable",,68,"Includes: Exterior personnel door assemblies at main entrances. Includes automatic, revolving, balanced, and other special operating entrance doors, and sliding storefront wall systems. ",,
214,Associated Masterformat Sections: 08 32 00 / 08 42 00 / 08 42 26 / 08 42 29 / 08 42 33 08 42 36 / 08 43 29 ,Exterior Entrance Doors,B2050.10 / 21-02 20 50 10 / Ss 25 30 20 25,350,"Inclusions
• Grillwork if applicable
• jambs
• Thresholds
• Operation and mechanism element envelopes
• Connections and interfaces
• hardware",,68,"Includes: Exterior personnel door assemblies at main entrances. Includes automatic, revolving, balanced, and other special operating entrance doors, and sliding storefront wall systems. ",,
215,Associated Masterformat Sections: 08 32 00 / 08 42 00 / 08 42 26 / 08 42 29 / 08 42 33 08 42 36 / 08 43 29 ,Exterior Entrance Doors,B2050.10 / 21-02 20 50 10 / Ss 25 30 20 25,400,Inclusions TBD,,68,"Includes: Exterior personnel door assemblies at main entrances. Includes automatic, revolving, balanced, and other special operating entrance doors, and sliding storefront wall systems. ",,
216,Associated Masterformat Sections: 08 33 00 / 08 36 00 / 08 36 13 / 08 36 16 / 08 36 19 08 36 23 / 08 34 16 ,Exterior Oversize Doors,B2050.30 / 21-02 20 50 30 / Ss 25 30 20 25,100,N/A,,68,Includes: Large exterior door assemblies to allow for passage of large objects involving various operating methods. Includes Exterior Door Supplementary Components as appropriate including operators and drive mechanisms. ,,
217,Associated Masterformat Sections: 08 33 00 / 08 36 00 / 08 36 13 / 08 36 16 / 08 36 19 08 36 23 / 08 34 16 ,Exterior Oversize Doors,B2050.30 / 21-02 20 50 30 / Ss 25 30 20 25,200,See B2050,,68,Includes: Large exterior door assemblies to allow for passage of large objects involving various operating methods. Includes Exterior Door Supplementary Components as appropriate including operators and drive mechanisms. ,,
218,Associated Masterformat Sections: 08 33 00 / 08 36 00 / 08 36 13 / 08 36 16 / 08 36 19 08 36 23 / 08 34 16 ,Exterior Oversize Doors,B2050.30 / 21-02 20 50 30 / Ss 25 30 20 25,300,"Inclusions
• Specific door panels and frames (if applicable).
• Operation
• If clearances are to be modeled indicate in a note
• Indication of hardware set",,68,Includes: Large exterior door assemblies to allow for passage of large objects involving various operating methods. Includes Exterior Door Supplementary Components as appropriate including operators and drive mechanisms. ,,
219,Associated Masterformat Sections: 08 33 00 / 08 36 00 / 08 36 13 / 08 36 16 / 08 36 19 08 36 23 / 08 34 16 ,Exterior Oversize Doors,B2050.30 / 21-02 20 50 30 / Ss 25 30 20 25,350,"Inclusions
• jambs
• Thresholds
• Operation and mechanism element envelopes
• Connections and interfaces",,68,Includes: Large exterior door assemblies to allow for passage of large objects involving various operating methods. Includes Exterior Door Supplementary Components as appropriate including operators and drive mechanisms. ,,
220,Associated Masterformat Sections: 08 33 00 / 08 36 00 / 08 36 13 / 08 36 16 / 08 36 19 08 36 23 / 08 34 16 ,Exterior Oversize Doors,B2050.30 / 21-02 20 50 30 / Ss 25 30 20 25,400,Inclusions TBD,,68,Includes: Large exterior door assemblies to allow for passage of large objects involving various operating methods. Includes Exterior Door Supplementary Components as appropriate including operators and drive mechanisms. ,,
221,Associated Masterformat Sections: 08 90 00 ,Exterior Louvers and Vents,B2070 / 21-02 20 70 / Ss 25 50 45 45,100,"Inclusions
• symbol",,69,"Includes: Exterior louvers which are not an integral part of mechanical equipment, including louvers connected to ducts. ",,
222,Associated Masterformat Sections: 08 90 00 ,Exterior Louvers and Vents,B2070 / 21-02 20 70 / Ss 25 50 45 45,200,"Inclusions
• Generic model element",,69,"Includes: Exterior louvers which are not an integral part of mechanical equipment, including louvers connected to ducts. ",,
223,Associated Masterformat Sections: 08 90 00 ,Exterior Louvers and Vents,B2070 / 21-02 20 70 / Ss 25 50 45 45,300,"Inclusions
• element envelope",,69,"Includes: Exterior louvers which are not an integral part of mechanical equipment, including louvers connected to ducts. ",,
224,Associated Masterformat Sections: 08 90 00 ,Exterior Louvers and Vents,B2070 / 21-02 20 70 / Ss 25 50 45 45,350,"Inclusions
• vanes",,69,"Includes: Exterior louvers which are not an integral part of mechanical equipment, including louvers connected to ducts. ",,
225,Associated Masterformat Sections: 01 83 16 ,Exterior Horizontal Enclosures,B30 / 21-02 30 / --,100,"Inclusions:
• Solid mass model representing overall building
volume; or, schematic wall elements that are not
distinguishable by type or material.",,71,,,
226,Associated Masterformat Sections: 01 83 19 ,Roofing,B3010 / 21-02 30 10 / Ss 30 10,100,See B30,,72,,,
227,Associated Masterformat Sections: 01 83 19 ,Roofing,B3010 / 21-02 30 10 / Ss 30 10,200,"Inclusions
• Element envelope at average thickness",,72,,,
228,Associated Masterformat Sections: 01 83 19 ,Roofing,B3010 / 21-02 30 10 / Ss 30 10,300,"Inclusions
• Surface slopes
• Intended location of roof drains
• Openings with any dimension greater than 6” (15 cm)
or as noted",,72,,,
229,Associated Masterformat Sections: 01 83 19 ,Roofing,B3010 / 21-02 30 10 / Ss 30 10,350,"Inclusions
• All penetrations at actual rough-opening dimensions.
• Flashing",,72,,,
230,Associated Masterformat Sections: 05 51 33 / 07 72 00 / 07 72 13 / 07 72 23 / 07 72 26 07 72 46 / 07 72 53 ,Roof Accessories,B3020.10 / 21-02 30 20 10 / --,100,See Fundamental LOD Definitions,,73,"Includes: Ladders, curbs, vents, walkways, and snow guards. ",,
231,Associated Masterformat Sections: 05 51 33 / 07 72 00 / 07 72 13 / 07 72 23 / 07 72 26 07 72 46 / 07 72 53 ,Roof Accessories,B3020.10 / 21-02 30 20 10 / --,200,See Fundamental LOD Definitions,,73,"Includes: Ladders, curbs, vents, walkways, and snow guards. ",,
232,Associated Masterformat Sections: 05 51 33 / 07 72 00 / 07 72 13 / 07 72 23 / 07 72 26 07 72 46 / 07 72 53 ,Roof Accessories,B3020.10 / 21-02 30 20 10 / --,300,See Fundamental LOD Definitions,,73,"Includes: Ladders, curbs, vents, walkways, and snow guards. ",,
233,Associated Masterformat Sections: 05 51 33 / 07 72 00 / 07 72 13 / 07 72 23 / 07 72 26 07 72 46 / 07 72 53 ,Roof Accessories,B3020.10 / 21-02 30 20 10 / --,350,"Inclusions
• Attachment points",,73,"Includes: Ladders, curbs, vents, walkways, and snow guards. ",,
234,Associated Masterformat Sections: 05 51 33 / 07 72 00 / 07 72 13 / 07 72 23 / 07 72 26 07 72 46 / 07 72 53 ,Roof Accessories,B3020.10 / 21-02 30 20 10 / --,400,See Fundamental LOD Definitions,,73,"Includes: Ladders, curbs, vents, walkways, and snow guards. ",,
235,Associated Masterformat Sections: 01 83 16 ,Overhead Exterior Enclosures,B3080 / 21-02 30 80 / --,100,N/A,,76,"Includes: Exposed to weather construction under horizontal enclosure construction. Includes suspension and support systems, insulation, vapor retarders, and air barriers. ",,
236,Associated Masterformat Sections: 01 83 16 ,Overhead Exterior Enclosures,B3080 / 21-02 30 80 / --,200,"Inclusions:
• Overall scope
• thickness/depth of system.",,76,"Includes: Exposed to weather construction under horizontal enclosure construction. Includes suspension and support systems, insulation, vapor retarders, and air barriers. ",,
237,Associated Masterformat Sections: 07 42 00 / 07 44 00 / 09 20 00 / 09 54 00 / 09 56 00 09 90 00 ,Exterior Ceilings,B3080.10 / 21-02 30 80 10 / Ss 30 25 10 26,100,N/A,,76,,,
238,Associated Masterformat Sections: 07 42 00 / 07 44 00 / 09 20 00 / 09 54 00 / 09 56 00 09 90 00 ,Exterior Ceilings,B3080.10 / 21-02 30 80 10 / Ss 30 25 10 26,200,See B3080,,76,,,
239,Associated Masterformat Sections: 07 42 00 / 07 44 00 / 09 20 00 / 09 54 00 / 09 56 00 09 90 00 ,Exterior Ceilings,B3080.10 / 21-02 30 80 10 / Ss 30 25 10 26,300,"Inclusions:
• Overall assembly
• Structural backing.
• Location of expansion or control joints indicated,
but not modeled.",,76,,,
240,Associated Masterformat Sections: 07 42 00 / 07 44 00 / 09 20 00 / 09 54 00 / 09 56 00 09 90 00 ,Exterior Ceilings,B3080.10 / 21-02 30 80 10 / Ss 30 25 10 26,350,"Inclusions:
• Face material.
• Structural backing members including
bracing/lateral framing/kickers.
• Expansion or control joints at accurate width.",,76,,,
241,Associated Masterformat Sections: 07 42 00 / 07 44 00 / 09 20 00 / 09 54 00 / 09 56 00 09 90 00 ,Exterior Ceilings,B3080.10 / 21-02 30 80 10 / Ss 30 25 10 26,400,"Inclusions
• Connections",,76,,,
242,Associated Masterformat Sections: 10 22 00 / 01 84 13 ,Interior Partitions,C1010 / 21-03 10 10 / Ss 25 10 30,100,N/A,,77,"Includes: Enclosures and partitions which are fixed and secured in place. Includes walls of concrete; and unit masonry; and wood and metal stud partitions with associated wall surfaces. Includes partitions of an open nature, such as wire mesh partitions. Partitions may be load bearing or non-load bearing. Includes Interior Partition Supplementary Components as appropriate. ",,
243,Associated Masterformat Sections: 10 22 00 / 01 84 13 ,Interior Partitions,C1010 / 21-03 10 10 / Ss 25 10 30,200,"Inclusions
• Generic wall objects
• Approximate overall wall thickness represented by a
single assembly.
• full vs. partial height not differentiated",,77,"Includes: Enclosures and partitions which are fixed and secured in place. Includes walls of concrete; and unit masonry; and wood and metal stud partitions with associated wall surfaces. Includes partitions of an open nature, such as wire mesh partitions. Partitions may be load bearing or non-load bearing. Includes Interior Partition Supplementary Components as appropriate. ",,
244,Associated Masterformat Sections: 03 30 00 / 03 40 00 / 04 20 00 / 05 41 00 / 06 11 00 / 09 20 00 / 10 22 13 ,Interior Fixed Partitions,C1010.10 / 21-03 10 10 10 / Ss 25 10 30,100,N/A,,77,,,
